title,doi,venue,date_received,date_available,date_accepted
Clinical-features-and-dynamics-of-viral-load-in-_2020_International-Journal-.txt,https://doi.org/10.1016/j.ijid.2020.03.022,International Journal of Infectious Diseases,unknown,unknown,unknown
Clinical-features-and-obstetric-and-neonatal-outcomes-of-pr_2020_The-Lancet-.txt,https://doi.org/10.1016/,Articles,unknown,unknown,unknown
Clinical-progression-of-patients-with-COVID-19-in-Shan_2020_Journal-of-Infec.txt,https://doi.org/10.1016/j.jinf.2020.03.004,ARTICLE IN PRESS,unknown,unknown, 2 March 2020
Clinical-Study-of-Mesenchymal-Stem-Cell-Treatment-for-Acute-Respir_2020_Engi.txt,https://doi.org/10.1016/j.eng.2020.02.006,Engineering xxx (xxxx) xxx,unknown,unknown,unknown
Composition-of-human-specific-slow-codons-and-slow-di-co_2020_Journal-of-Mic.txt,https://doi.org/10.1016/j.jmii.2020.03.002,+, 7 March 2020; accepted 8 March 2020,unknown, 8 March 2020
Computers-and-viral-diseases--Preliminary-bioinformatics-stud_2020_Computers.txt,https://doi.org/10.1016/j.compbiomed.2020.103670,Computers in Biology and Medicine 119 (2020) 103670, 2 February 2020, 26 February 2020, 17 February 2020
Core-Outcome-Set-for-Clinical-Trials-on-Coronavirus-Disease-20_2020_Engineer.txt,https://doi.org/10.1016/j.eng.2020.03.002,Engineering xxx (xxxx) xxx,unknown,unknown,unknown
Corona-Virus-International-Public-Health-Emergencies--Impli_2020_Academic-Ra.txt,https://doi.org/10.1016/j.acra.2020.02.003,Current Topics in Medicine,unknown,unknown,unknown
Coronavirus--COVID-19--outbreak--what-the-department-_2020_Gastrointestinal-.txt,https://doi.org/10.1016/j.gie.2020.03.019,SPECIAL ARTICLE,unknown,unknown,unknown
Coronavirus--COVID-19--Outbreak--What-the-Dep_2020_Journal-of-the-American-C.txt,https://doi.org/10.1016/j.jacr.2020.02.008,ORIGINAL ARTICLE,unknown,unknown,unknown
Coronavirus-2019-nCoV--A-brief-perspective-from-the-f_2020_Journal-of-Infect.txt,https://doi.org/10.1016/j.jinf.2020.02.010,Journal of Infection 80 (2020) 373–377,unknown, 25 February 2020, 11 February 2020
Coronavirus-Disease--COVID-19---A-primer-fo_2020_The-American-Journal-of-Eme.txt,https://doi.org/10.1016/j.ajem.2020.03.036,American Journal of Emergency Medicine,unknown,unknown,unknown
Coronavirus-Disease--COVID-19---Spectrum-of-CT-Findings-and_2020_Academic-Ra.txt,https://doi.org/10.1016/j.acra.2020.03.003,ARTICLE IN PRESS,unknown,unknown,unknown
Coronavirus-Disease-2019--Coronaviruses-and-Blo_2020_Transfusion-Medicine-Re.txt,https://doi.org/10.1016/j.tmrv.2020.02.003,"YTMRV-50607; No of Pages 6
Transfusion Medicine Reviews xxx (xxxx) xxx",unknown,unknown,unknown
Coronavirus-Disease-2019--COVID-19--and-Pregna_2020_American-Journal-of-Obst.txt,https://doi.org/10.1016/j.ajog.2020.02.017,American Journal of Obstetrics and Gynecology,unknown,unknown,unknown
Coronavirus-Disease-2019--COVID-19--Pand_2020_American-Journal-of-Obstetrics.txt,https://doi.org/10.1016/j.ajog.2020.03.021,American Journal of Obstetrics and Gynecology,unknown,unknown,unknown
Coronavirus-Disease-2019--COVID-19--Pneumonia-in-a-Hemodia_2020_Kidney-Medic.txt,https://doi.org/10.1,Case Report,unknown,unknown,unknown
COVID-19---the-role-of-mass-gatheri_2020_Travel-Medicine-and-Infectious-Dise.txt,https://doi.org/10.1016/j.tmaid.2020.101617,Travel Medicine and Infectious Disease xxx (xxxx) xxxx, 3 March 2020; Accepted 4 March 2020,unknown, 4 March 2020
COVID-19--Challenges-to-GIS-with-Big-Data_2020_Geography-and-Sustainability.txt,https://doi.org/10.1016/j.geosus.2020.03.005,ARTICLE IN PRESS,unknown,unknown,unknown
COVID-19--Epidemiology--Evolution--and-Cross-Disci_2020_Trends-in-Molecular-.txt,https://doi.org/10.1016/j.molmed.2020.02.008,TRMOME 1550 No. of Pages 13,unknown,unknown,unknown
COVID-19--Melatonin-as-a-potential-adjuvant-treatment_2020_Life-Sciences.txt,https://doi.org/10.1016/j.lfs.2020.117583,Life Sciences,unknown,unknown,unknown
COVID-19--una-emergencia-de-salud-p-blica-mundi_2020_Revista-Cl-nica-Espa-ol.txt,https://doi.org/10.1016/j.rce.2020.03.001,"+Model
RCE-1815; No. of Pages 7",unknown,unknown,unknown
COVID-19-infection--origin--transmission--and-charact_2020_Journal-of-Advanc.txt,https://doi.org/10.1016/j.jare.2020.03.005,Journal of Advanced Research,unknown,unknown,unknown
COVID-19-infection-and-rheumatoid-arthritis--Faraway--_2020_Autoimmunity-Rev.txt,https://doi.org/10.1016/j.autrev.2020.102523,Autoimmunity Reviews xxx (xxxx) xxxx, 7 March 2020; Accepted 19 March 2020,unknown, 19 March 2020
Covid-19-pandemic-and-the-skin---What-should-dermatol_2020_Clinics-in-Dermat.txt,https://doi.org/10.1016/j.clindermatol.2020.03.012,Clinics in Dermatology,unknown,unknown,unknown
COVID-19-Personal-Protective-Equipment--PPE--fo_2020_Visual-Journal-of-Emerg.txt,https://doi.org/10.1016/j.visj.2020.100740,Visual Journal of Emergency Medicine 19 (2020) 100740, 3 March 2020; Accepted 4 March 2020,unknown, 4 March 2020
COVID-19-spike-host-cell-receptor-GRP78-binding-site-p_2020_Journal-of-Infec.txt,https://doi.org/10.1016/j.jinf.2020.02.026,ARTICLE IN PRESS,unknown,unknown, 27 February 2020
Don-t-overlook-digestive-symptoms-in-patients-wit_2020_Clinical-Gastroentero.txt,https://doi.org/10.1016/j.cgh.2020.03.043,unknown,unknown,unknown,unknown
Early-dynamics-of-transmission-and-control-of-COVID-_2020_The-Lancet-Infecti.txt,https://doi.org/10.1016/,Articles,unknown,unknown,unknown
Effects-of-progressive-muscle-relaxation-on-anxi_2020_Complementary-Therapie.txt,https://doi.org/10.1016/j.ctcp.2020.101132,Complementary Therapies in Clinical Practice 39 (2020) 101132, 27 February 2020, 6 March 2020, 29 February 2020
Estimation-of-the-reproductive-number-of-novel-coronavi_2020_International-J.txt,https://doi.org/10.1016/j.ijid.2020.02.033,International Journal of Infectious Diseases 93 (2020) 201–204, 15 February 2020,unknown, 18 February 2020
Experimental-Treatment-with-Favipiravir-for-COVID-19--An-Open-_2020_Engineer.txt,https://doi.org/10.1016/j.eng.2020.03.007,Engineering xxx (xxxx) xxx,unknown,unknown,unknown
Feasibility-of-controlling-COVID-19-outbreaks-by-isola_2020_The-Lancet-Globa.txt,https://doi.org/10.1016/,Articles,unknown,unknown,unknown
Featuring-COVID-19-cases-via-screening-symptomatic-p_2020_Journal-of-Microbi.txt,https://doi.org/10.1016/j.jmii.2020.03.008,+, 8 March 2020,unknown, 10 March 2020
First-case-of-Coronavirus-Disease-2019--COVI_2020_Journal-of-the-Formosan-Me.txt,https://doi.org/10.1016/j.jfma.2020.02.007,"Journal of the Formosan Medical Association (2020) 119, 747e751", 16 February 2020,unknown, 18 February 2020
First-known-person-to-person-transmission-of-severe-acute-respira_2020_The-L.txt,https://doi.org/10.1016/S0140-6736(20)30607-3,Articles,unknown,unknown,unknown
Health security capacities in the context of COVID-19.txt,https://doi.org/10.1016/,Articles,unknown,unknown,unknown
High-resolution-computed-tomography-manifestations-of-C_2020_European-Journa.txt,https://doi.org/10.1016/j.ejrad.2020.108972,European Journal of Radiology,unknown,unknown,unknown
Hydroxychloroquine-and-azithromycin-as-a-treatment-_2020_International-Journ.txt,https://doi.org/10.1016/j.ijantimicag.2020.105949,International Journal of Antimicrobial Agents,unknown,unknown,unknown
Imaging-Features-of-Coronavirus-disease-2019--COVID-19---E_2020_Academic-Rad.txt,https://doi.org/10.1016/j.acra.2020.03.002,ARTICLE IN PRESS,unknown,unknown,unknown
Imaging-manifestations-and-diagnostic-value-of-chest-CT-of-co_2020_Clinical-.txt,https://doi.org/10.1016/j.crad.2020.03.004,Clinical Radiology xxx (xxxx) xxx, 2 March 2020,unknown, 4 March 2020
In-silico-screening-of-Chinese-herbal-medicines-with-th_2020_Journal-of-Inte.txt,https://doi.org/10.1016/j.joim.2020.02.005,Journal of Integrative Medicine 18 (2020) 152–158, 7 February 2020, 20 February 2020, 13 February 2020
Internationally-lost-COVID-19-_2020_Journal-of-Microbiology--Immunology-and-.txt,https://doi.org/10.1016/j.jmii.2020.03.013,+, 3 March 2020,unknown, 13 March 2020
Investigation-of-three-clusters-of-COVID-19-in-Singapore--implica_2020_The-L.txt,https://doi.org/10.1016/S0140-6736(20)30528-6,Articles,unknown,unknown,unknown
Is-COVID-19-receiving-ADE-from-other-coronaviruse_2020_Microbes-and-Infectio.txt,https://doi.org/10.1016/j.micinf.2020.02.006,Microbes and Infection 22 (2020) 72e73, 12 February 2020, 22 February 2020, 13 February 2020
Lessons-learned-from-the-2019-nCoV-epidemic-on-preventio_2020_Microbes-and-I.txt,https://doi.org/10.1016/j.micinf.2020.02.004,Microbes and Infection 22 (2020) 86e91, 11 February 2020, 20 February 2020, 12 February 2020
Measures-for-diagnosing-and-treating-infections-by-a-novel-co_2020_Microbes-.txt,https://doi.org/10.1016/j.micinf.2020.01.003,Microbes and Infection 22 (2020) 74e79, 24 January 2020, 1 February 2020, 24 January 2020
Modeling-the-dynamics-of-novel-coronavirus--2019-nCo_2020_Alexandria-Enginee.txt,https://doi.org/10.1016/j.aej.2020.02.033,"Alexandria Engineering Journal (2020) xxx, xxx–xxx", 3 February 2020,unknown, 28 February 2020
Molecular-immune-pathogenesis-and-diagnosis-_2020_Journal-of-Pharmaceutical-.txt,https://doi.org/10.1016/j.jpha.2020.03.001,Journal of Pharmaceutical Analysis xxx (xxxx) xxx, 24 February 2020,unknown, 1 March 2020
New-insights-on-the-antiviral-effects-of-chloroqu_2020_International-Journal.txt,https://doi.org/10.1016/j.ijantimicag.2020.105938,International Journal of Antimicrobial Agents,unknown,unknown,unknown
Nowcasting-and-forecasting-the-potential-domestic-and-internationa_2020_The-.txt,https://doi.org/10.1016/,Articles,unknown,unknown,unknown
Of-chloroquine-and-COVID-19_2020_Antiviral-Research.txt,https://doi.org/10.1016/j.antiviral.2020.104762,Antiviral Research 177 (2020) 104762, 29 February 2020, 05 March 2020, 2 March 2020
Pathogenicity-and-transmissibility-of-2019-nCoV-A-quick-ove_2020_Microbes-an.txt,https://doi.org/10.1016/j.micinf.2020.01.004,Microbes and Infection 22 (2020) 69e71, 28 January 2020, 4 February 2020, 29 January 2020
Patients-of-COVID-19-may-benefit-from-sustained-lopinav_2020_International-J.txt,https://doi.org/10.1016/j.ijid.2020.03.013,International Journal of Infectious Diseases,unknown,unknown,unknown
Planning-and-provision-of-ECMO-services-for-severe-ARDS-du_2020_The-Lancet-R.txt,https://doi.org/10.1016/S2213-2600(20)30121-1,Health-care Development,unknown,unknown,unknown
Predicting-the-impacts-of-epidemic-outbreaks-on-g_2020_Transportation-Resear.txt,https://doi.org/10.1016/j.tre.2020.101922,Transportation Research Part E 136 (2020) 101922, 15 March 2020,unknown, 18 March 2020
Preliminary-estimation-of-the-basic-reproduction-number-_2020_International-.txt,https://doi.org/10.1016/j.ijid.2020.01.050,International Journal of Infectious Diseases 92 (2020) 214–217, 23 January 2020,unknown, 27 January 2020
Preparedness-and-vulnerability-of-African-countries-against-impo_2020_The-La.txt,https://doi.org/10.1016/,Articles,unknown,unknown,unknown
Prevalence-and-predictors-of-PTSS-during-COVID-19-Outbreak-i_2020_Psychiatry.txt,https://doi.org/10.1016/j.psychres.2020.112921,Psychiatry Research,unknown,unknown,unknown
Prevalence-of-comorbidities-in-the-novel-Wuhan-coro_2020_International-Journ.txt,https://doi.org/10.1016/j.ijid.2020.03.017,International Journal of Infectious Diseases,unknown,unknown,unknown
Radiological findings from 81 patients.txt,https://doi.org/10.1016/,Articles,unknown,unknown,unknown
Rapid-viral-diagnosis-and-ambulatory-management-of-suspected_2020_Travel-Med.txt,https://doi.org/10.1016/j.tmaid.2020.101632,Travel Medicine and Infectious Disease,unknown,unknown,unknown
Real-time-forecasts-of-the-COVID-19-epidemic-in-China-_2020_Infectious-Disea.txt,https://doi.org/10.1016/j.idm.2020.02.002,Infectious Disease Modelling 5 (2020) 256e263, 10 February 2020, 14 February 2020, 12 February 2020
Recomendaciones-sobre-el-manejo-cl-nico-de-la-infecci-n-por-el-_2020_Anales-.txt,https://doi.org/10.1016/j.anpedi.2020.02.001,+Model,unknown,unknown,unknown
Recurrence-of-positive-SARS-CoV-2-RNA-in-C_2020_International-Journal-of-Inf.txt,https://doi.org/10.1016/j.ijid.2020.03.003,International Journal of Infectious Diseases,unknown,unknown,unknown
Serial-interval-of-novel-coronavirus--CO_2020_International-Journal-of-Infec.txt,https://doi.org/10.1016/j.ijid.2020.02.060,International Journal of Infectious Diseases 93 (2020) 284–286, 14 February 2020,unknown, 27 February 2020
Severe-acute-respiratory-syndrome-coronavirus-2--SARS_2020_International-Jou.txt,https://doi.org/10.1016/j.ijantimicag.2020.105924,International Journal of Antimicrobial Agents 55 (2020) 105924, 11 February 2020,unknown, 12 February 2020
Society-of-Cardiovascular-Computed-Tomography-Guidan_2020_Journal-of-Cardiov.txt,https://doi.org/10.1016/j.jcct.2020.03.002,Journal of Cardiovascular Computed Tomograph,unknown,unknown,unknown
Teicoplanin--an-alternative-drug-for-the-tre_2020_International-Journal-of-A.txt,https://doi.org/10.1016/j.ijantimicag.2020.105944,International Journal of Antimicrobial Agents,unknown,unknown,unknown
The psychological impact of the COVID-19 epidemic.txt,https://doi.org/10.1016/j.psychres.2020.112934,Psychiatry Research,unknown,unknown,unknown
The-Battle-Against-Coronavirus-Disease-2019--COVID-1_2020_Journal-of-the-Ame.txt,https://doi.org/10.1016/j.jacr.2020.03.011,Journal of the American College of Radiology,unknown,unknown,unknown
The-deadly-coronaviruses--The-2003-SARS-pandemic-and-the-_2020_Journal-of-Au.txt,https://doi.org/10.1016/j.jaut.2020.102434,Journal of Autoimmunity xxx (xxxx) xxxx, 19 February 2020,unknown, 22 February 2020
The-epidemic-of-2019-novel-coronavirus--2019-nCoV--pneumonia_2020_Microbes-a.txt,https://doi.org/10.1016/j.micinf.2020.02.002,Microbes and Infection 22 (2020) 80e85, 7 February 2020, 20 February 2020, 11 February 2020
The-epidemiology-and-pathogenesis-of-coronavirus-disea_2020_Journal-of-Autoi.txt,https://doi.org/10.1016/j.jaut.2020.102433,Journal of Autoimmunity xxx (xxxx) xxxx, 10 February 2020,unknown, 18 February 2020
The-SARS-CoV-2-outbreak--what-we_2020_International-Journal-of-Infectious-Di.txt,https://doi.org/10.1016/j.ijid.2020.03.004,International Journal of Infectious Diseases,unknown,unknown,unknown
Transmission potential of the novel coronavirus.txt,https://doi.org/10.1016/j.idm.2020.02.003,Infectious Disease Modelling 5 (2020) 264e270, 25 February 2020, 29 February 2020, 27 February 2020
Transmission-potential-and-severity-of-CO_2020_International-Journal-of-Infe.txt,https://doi.org/10.1016/j.ijid.2020.03.031,International Journal of Infectious Diseases,unknown,unknown,unknown
Understanding-of-Guidance-for-acupuncture-and-moxibustio_2020_World-Journal-.txt,https://doi.org/10.1016/j.wjam.2020.03.005,(),unknown,unknown,unknown
What-Should-Gastroenterologists-and-Patients_2020_Clinical-Gastroenterology-.txt,https://doi.org/10.1016/j.cgh.2020.03.020,unknown,unknown,unknown,unknown
World-Health-Organization-declares-global-emergency--A_2020_International-Jo.txt,https://doi.org/10.1016/j.ijsu.2020.02.034,International Journal of Surgery 76 (2020) 71–76, 3 February 2020, 26 February 2020, 24 February 2020
